"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
What's up?
https://t.co/9ueOUvWJt4?
@240039 @TMobileHelp | @240038 Hi there Dan.  I am definitely here to help in any way that I can.  Send me a quick DM and I will look into your situation for you. *JonSimmons"
"Went to @115911 in Burbank and Diana and Carlos were the worst ppl I've ever encountered. They are seriously no help and completely ruined how excited I was to switch from iPhone to a Note8... so annoyed! Maybe I should switch to @115725 https://t.co/pBMR3vfBe5 | @240798 We want you to have the best experience with us, Chanel. Send us a DM and allow us the opportunity to turn things around. We're here for you. *RickK"
"@sprintcare when does the trade-in end? I am trying to order an X. I think I seen the 7th, but it looks like they took it off today. | @240858 Hi! Our Save $350 on the iPhone 8, iPhone 8 Plus or iPhone X with Sprint Flex and Eligible-trade-in promotion will end for new lines and upgrades on 12/07/17. Hurry up and get this exclusive offer! Go to https://t.co/0qT1rLBLtN for more details. -FG"
"@115913 @115911 @UPSHelp  UPS is having a hard time tracking my shipment of the iPhone X which said it would be delivered Wednesday. Driver came to my place  today and it’s not on his truck 😒 most likely stolen. Don’t put your logo on the box 🤦🏻‍♂️ | @225995 @115913 I know that getting your new phone is exciting, and I'd like to make sure we're doing everything we can for you. Let's chat in DM https://t.co/7gT2t6PtXx. *StephanieGarza"
"@sprintcare Our iPhone 6s and 7plus report 3-4 bars and LTE. But no connectivity nearly all evening in the 29607 area. Is this a known issue? | @241256 Hey! Please send us a DM, so that we can verify your location and see what's going on with your service. -GP. https://t.co/rMApsV8PQY"
@sprintcare it has been over 48 hours since I’ve made a request to unlock my iPhone. You cannot hold my account hostage when I have paid off my phone. Please unlock my phone. Thank you 🙏🏻 @6126 | @245275 Please DM us additional details to review what has happened with the unlocking process of your device. We'll be there waiting for you. - JF
Anyone Elsie suddenly unable to charge their iPhone X? Mine just keeps beeping like it just connected. The 6 still charges fine. Also @115911 your IVR is horrible. Press 3 to remain on hold. Only you would make me do something to remain on hold rather than just holding. 😂 | @245341 Hey Joe! We're here for you and want to look a this right away. Always happy to help you out in our DMs as well if you would rather not way on the phone. Shoot us a message and we'll be there to chat. *ErikS
@TMobileHelp any deals on the iphone x? If not i may switch to sprint | @245435 The iPhone X is a pretty sweet device! Send me a DM so I can get you all the specifics :) https://t.co/98fTbXON7k *HeatherPeterson
"@115913 I hope I get my iPhone 8 before the next one comes out, it's been 10 days and no sign after a couple of screw ups. Don't let your customer service quality go down | @245783 @115913 We certainly want you to get your hands on that new iPhone and would be happy to check the order status. Send us a DM so we can chat. https://t.co/5bqVYFp5Vy *JamieEnglish"
"@TMobileHelp hey! Hoping you can help. My son gifted me iPhone 8 on your bogo. I wanted the 8 plus. any tips how I can do this? Store staff keeps giving us different answers and making it way too difficult. | @245784 Congrats! What an awesome gift from your son, good job Mom! We can help find the best way for you to get the Plus in-hand as soon as possible! DM me, I can help! https://t.co/n6tQTx28XN *OliviaStewart"
"@115911 Shockingly bad customer service from Carlos in your Hoboken store today. Rude, unhelpful and insisted my iphone7 was an I phone6. | @246630 Emma, your feedback is appreciated so that we can work toward a better experience. I would expect a great customer care experience as well and that's what we're about. Send us a DM so we can get your feedback in the right place and help you with your iPhone! *KeithM"
"@115911 is the by 1 get 1 free iPhone 8 promo still going on? | @247001 Hi Christian! It ended yesterday, but you can still #TreatYourself! ☺️ Send us a DM if you have any questions and we can take a look at your options! *TarynS"
@115714 heyyy I am trying to get the iPhoneX and I hade  a iPhone6s and it was a buy one get one and wtf buy one get one isn’t buy one get one why is that it’s bull | @247625 Please send us a DM with additional details and explanation about your situation to properly assist you. - JF
"@115911 the tweets I get via text now that they are larger the whole tweet doesn’t show in the text is that an issue that can be fixed by you or is it an iPhone issue? | @247841 Hey David! Can you send us a DM with the details on exactly what's going on? Is it the font that is larger?? Either way, we can help ;) *KittyG"
@115714 @sprintcare why are calls on my iPhone 8 dropping at my house with full WiFi and full Sprint coverage/service? | @248177 When did you start having this issues? Does it only happen when you're home? Does any message display on the screen when calls drop? -PC
@115913 returned an iphone X and @115817 clearly lost or stole it. now i have to spend HOURS on the phone with dozens of representatives and supervisors to fight for a refund?! I’m so disgusted. | @248200 @115913 Hello Hannah. Those device refunds are a top priority and I'd love to work with you to get to the bottom of this. Please send me a DM so we can chat. https://t.co/3sF8qpf2nx *AlissaFast
"@115913 returned an iphone X to @115817 with the provided return label with tracking and the scheduled delivery date went from yesterday, to monday dec 4, to “information unavailable”. It is CLEARLY lost and now I have to jump through hoops for a refund. #tmobile #ups | @248200 @115913 Hannah, it's important that we come to a resolution for you and I'd love to get started. Please send me a DM. Thank you *AlissaFast"
"@sprintcare upgraded iPhones (6+ and 6S to 8/8+) 3 weeks ago with promised $350 trade in per phone.  Given incorrect code at dealership.  After many hours of trying to resolve, we are now being told that our plan is ineligible, even though nothing was said about that.  Help pls. | @249382 Jeremy, I assure you I am here to help. Please send me a DM. Thanks for your co-operation. -L.S"
"I️ pay over $140 a month for your service and my phone is useless at my own house. @115714 you need to fix this problem... I️ just spend an arm and a leg on the iPhone X and I can’t even use it around my own neighborhood And I️ can’t afford WiFi bc you guys are so expensive.. | @249387 Hi there, this is concerning to me. Please send us a Direct Message, so that we can further assist you. -MC"
"@TMobileHelp Why is waiting for hours at an @115858 store my only option for fixing my iPhone screen? I can either drop $150 for the replacement screen or $175 for a warranty exchange. Awful customer service. | @249424 Great question! Since Apple is the manufacture of the device, they are the experts to seamlessly resolve your concerns! Insurance claims, however, can be done from the comfort of your own home. Meet us in DM if you need any more clarity: https://t.co/AsNixOq0xa *SekiaSmith"
"My i phone 7 feels like a fucking ipod compared to my iphone X. Fucking lying ass @115714 ended up charging me more | @250001 Hi there, this is not the type of feedback we like to receive. What seems to be the issue your having? -MC"
@TMobileHelp - Is there an outage in the San Juan Islands? No service today for either my Android phone or my wife's iPhone. Is there an official outage status page somewhere? | @250226 Howdy! Can you send me a DM? I'd be happy to check into this and find out what is going on. https://t.co/UOOUCn8nWm *JeremyKelley
Could @sprintcare or @AppleSupport explain to me why half the names in my contact list just disappeared. What is going on? Please fix the issue or system. 😫😑 #iamroemelloe | @250592 Hey! Can you try doing a soft reset? What is the iPhone you currently have so that I can provide you the steps? -MP
"@115913 trying to get an iphone for my daughter for Christmas but apparently I don't have the ""ec"" to do so. I need to get this for her, can you assist?!?!?  I have the line just can't get the phone!!! @115911 | @250628 @115913 This sounds like an amazing Christmas present! Let's see what options we have to get you guys into this phone, please DM https://t.co/7gT2t6PtXx. *StephanieGarza"
"@TMobileHelp Question, if I have a phone that still boots into the Android OS is possible to restore the stock recovery and get the whole phone back to stock? | @252023 Hey Rexen! That's a great question. Send me a DM and let's look into this! https://t.co/iUlnGXy3Ha *VinnyFrancisco"
@115913 help needed to upgrade to iPhone 8📱 ...currently on unlimited plan. | @252595 @115913 We would love to talk upgrades with you. Shoot me a DM https://t.co/7gT2t6PtXx. *StephanieGarza
"@115913 My new iPhone X was delivered to the T-Mobile store in Janesville, WI yesterday, but they say I can’t pick it up because the district manager hasn’t come in to “check it in” yet?!!! | @252813 @115913 Let's see if we can get a pick up date for you. Hit me up in DM https://t.co/7gT2t6PtXx. *StephanieGarza"
@115913 @115911 is there any way to get the BOGO back for the iPhones? Want to get it for my wife’s birthday. T-Mobile 4 Life!!!! | @252821 @115913 We're always keeping it fresh by switching up our offers. Keep an eye on our newsroom for upcoming deals: https://t.co/Rs7ud2PYPg *TaylorBest
"@TMobileHelp I got a new iPhone. But it says my data plan won't work on it. What do I do? | @253084 No data is no bueno!  But have to fear, T-Force is here!  I have my #magetadetectivehat ready to go so I can help you get to the bottom of this.  Shoot me a DM and we will get you back up and running!  https://t.co/HxATIJF0QV *KevinGray"
definitely need the iphone X @115714 let’s talk bidness big bro | @253300 Hey there! You can check iPhone X methods of payment at https://t.co/zPHBBdvJcy you'd also be able to check available deals there or visiting https://t.co/dwtDgGbWzU . -MH
@115913 I’m VERY angry!! Currently on the phone with Tmobile cs and I’m being fed one lie after the next. I’ve paid off my iPhone to have it unlocked. Was promised by several people that it would be. Now I’m getting the runaround and no one will ... | @221718 @115913 We want you to have only the best experience. I'm confident we can help you here. Let's chat in DM https://t.co/7gT2t6PtXx. *StephanieGarza
"Right when I was about to buy the iPhone X, @TMobileHelp gets rid of the trade-in offer 😕 | @254462 Ayyye! We always have a bunch of great promos! Let's check it out! Just shoot me a DM here https://t.co/QHDTFHxSPu and let me know what phone you're looking for and we can check it out! Thanks! *KrystnYogi"
@115913 please have your developers update the digits app to take advantage of the full screen on iPhone X. | @250630 @115913 Shoot us a DM and I will be happy to look into it! 😊 https://t.co/e8Nbl0Flir *HollyJ
"The baseband build N950USQU2BQJA
@115911 shipped to #Samsung #Note8  Devices on Nov 16 DOES NOT include #android November Security Patch. @TMobileHelp @115913
 https://t.co/2pepA2Y5zO https://t.co/krJT3ZfkMo | @256523 @115913 We want to look into this for you, let's discuss this to make sure we get all the information we need. Send me a DM https://t.co/PbJEgtqanO *JeromyBingham"
"@115911 what's the point of JUMP On Demand if I still have to pay a $280 down payment for the iPhone X? 🙄 | @258237 Agop, let's explain all the details to you. DM us. *JamieK"
"@115913 @115911 my family (need 4 lines) is looking to switch from Verizon. Sprint has the strongest deal on iPhones and plans right now. Any chance a new deal for T-mobile is coming soon for the holiday that can match/beat them? | @258239 @115913 We've got new deals rolling out all the time and would love to have you on board, Chris. Check out: https://t.co/eIjBSghIbu periodically for the latest. *DanKing"
"@115911 I would like to add my wife's son to our account, he is with Sprint now and owes $300 on iPhone 7, he would like note 8, what kind of deals do you have that would allow him to switch? | @258871 Great question! We cover up to $650 early termination fees/per line, so that would help out your wife's son. DM us and let's look into all the options available for him. *JamieK"
@115911 I ordered the new iPhone x and it doesn't work no one @115911 seems to be able to help me all they want is more money..horrible service | @260418 We only want you to be loving your new iPhone X paired on our network. DM us and let's see what's going on. *JamieK
"What’s deal with @115911 telling people in stores that @115858 iPhone X is not worth it?? | @260798 This doesn't sound like us because we love the iPhone X. If you have concerns, DM us and we'd love to hear your store experience. *JamieK"
"@TMobileHelp y does ur android app not recognize phone and password combo for my account? Does your app not support prepaid accounts? | @186618 Hi there, Rick! We'd be more than happy to assist you! Please shoot us a message so we can continue working together. :) *LeshayBaker"
Hey @115911 or @TMobileHelp can I be on a call and use an internet connection (safari or GPS) at the same time on your network with an iPhone6s Plus? Thinking of switching over. | @262039 Absolutely! GSM Technology has allowed simultaneous voice and data usage for years. Send us a DM to find out more about T-Mobile :) https://t.co/IUIA5vQSHC *MattHargleroad
"Ever since I switched to the iPhone X, my service has sucked. Thanks @115714 | @262419 With that being said, do you by chance have the ACS Apple Care Services included in with your device for trouble shooting analysis? -MB"
"Want to get BOGO deal you guys are offering, @115911 @TMobileHelp @139105 - buy 1 #iPhone, get 1 free (reimbursed on MC, etc.) ... 

Bringing over TWO LINES from VZW (there since Feb 2011), but I want to buy an #iPhoneX &amp; get #iPhone8Plus free - can we make this happen? :) | @131239 Send me a DM, and I'll get you the details! https://t.co/zXrDYDCnIa *Bridget Wren"
Very satisfied with @115714 . I've been a customer for over two years. Easy upgrades. And I got my new iPhone in 2 days!!!! Happy customer😊 | @265266 We are so glad!  THANK YOU FOR BEING A TERRIFIC SPRINT CUSTOMER and congratulations on your new IPHONE!!!!
Hey @115714 :) could you please mail me those new iPhone 8's I pre-ordered! Thanks! | @265277 Thanks for contacting us! We will be more than glad to help you. When did you order them? Do you have a tracking number? - OM
"any #iphone #blackfriday #sales @127271 @115714 . | @264290 Hey! Definitely, we'd never forget about you. Take a look into the special deals designed especially for you. Just go to My Sprint account on https://t.co/0qT1rLBLtN -AF"
"@sprintcare @AppleSupport neither one can’t tell me why I cannot activate my brand new iPhone X. Ridiculous 🙄 | @265430 Hi, Are you trying to activate online or thru the Call Center? What error are you getting? Before the X, what device did you had? Shoot us a DM to further assist. - JM"
What's up with the 1H 15M wait time @115911 | @266324 It's an iPhone pre-order/launch week. It can get a little crazy. We can assist you here though. How can we assist? *JasmineS
@115913 @115911 wife bought iphone few days b4 BOGO promo. Brklyn Bedford St store said promo can’t be applied. Help! Could use another iPhone 8! | @266611 @115913 Hey! I'd love to check out all of your options to get in on this amazing offer! Send me a DM so we can chat https://t.co/3sF8qpf2nx *AlissaFast
@TMobileHelp I just received my new iPhone 10 before I use it do I need to activate the new Sim card or can I put in my old iPhone Sim card they are supposed to be transitioning me from a no credit check account to a post paid account so please let me now | @119569 Congrats on your amazing new phone! All you've got to do is pop in your old SIM into your new phone and ta-da! Your service will transfer over to your iPhone X. 😊 *BrittanyJones
@115714 I was going to switch from @115725 and trade my iPhone 6s for an 8 but you only offer 50% off. Not enough to get me to switch. | @267845 Hello. Click on the link for our current promotion https://t.co/DXeSKlIlYx
Hey @sprintcare Want to port over 6+ lines of service from TMobile and give me a $300 trade in credit for iPhone 8+? Looking to switch desperately. | @121672 Hello there! Thank you for considering Sprint as your provider. Please click on the link for our current promotions.https://t.co/OLXF2ShjmN
"Has anyone’s iPhone 7 Plus screens just stared cracking out of no where? I haven’t dropped my phone. I just wanted a scratch turn into a full blown crack within 1 Minute. @115714 | @267959 Hey there! Please visit your nearest Sprint store, so that our techs can have a look at the phone and give you further options. - LP"
"Heyo @115714 can you fix your technical difficulties please so that I can pay for my phone bill so that I can text my boyfriend who isn’t an iPhone user 😭😭😭😭😭💔 | @267965 Hey there! Please send me a DM, so that I can assist you further. - LP"
@TMobileHelp Any of your Dallas/Fort Worth locations have the iPhoneX in stock? #AskingForAFriend | @267972 Greetings! Our stores currently have no iPhone X in stock at stores yet! *TiannahReagor
@115913 why does @115911 make it so ridiculously hard for business accounts to purchase the #iPhonex - Apple tells me I must convert the account to consumer to do business with the #IUP | @267979 @115913 Hey! Purchasing a new phone should be easy and I'd love to go over your options here. Send me a DM so we can get started. Thank you! https://t.co/3sF8qpf2nx *AlissaFast
@115911 where can I check if iPhone 8 are in stock in store? | @268244 You'll need to call a specific store to find out Nicole. *KaeW
"@115913 2 hours and counting to get iPhone X pre-order through because of issues w/ TMo app &amp; website. Care to comment? #TMobileFail https://t.co/10Mj7mNYUv | @268295 @115913 We've got your back, Lee. We'll be DM'ing you ASAP. *DanKing"
"Awake at 3am to buy new iPhone, but @115714  decided to go on vacation. #badservice | @268302 Good day, we understand you're excited about having the iPhone X &amp; we'll like to help. Contact out telesales department at 800-777-4681 - FS"
"@sprintcare I have the iphone in my cart, but the cart won't load. WHY | @268305 We apologize for the slow process. Our servers are congested for the high traffic. Are you still experiencing issues with our website? -LR."
"@sprintcare where’s my confirmation for my iPhone! Y’all took my money tho. 🙄 | @268311 Please send us a Direct Message, so that we can further assist you. -FG"
"@115714 your site would crash for the preorder. Y’all suck. | @268313 Good day, we understand you're excited about having the iPhone X &amp; we'll like to help. Contact out telesales department at 800-777-4681 - FS"
"@115714 Got kicked out of cart several times, cart was deleted, now I have been sent back to wait screen. #Sprint #iPhoneX #Fail | @268318 Please try again using the website 'https://t.co/0qBF3Cekat' as maintenance has now been completed. -JC"
"Got my 256gb #iPhoneX📱!!! Oh wait it was alllllll a dream since @115714 @sprintcare site, app, &amp; call center are all down! #SPRINT 😡👊🏾😡👊🏾 | @268322 Hey, please try again using this link https://t.co/0FE0wlbF4R or by calling 1-800-Sprint1. Hope this information is helpful to you. -AS"
"Ok @115714 whatcha got for a #blackfriday deal for me on a #iPhoneX or should I ask @115911 @115913 what #magentadeal they have to offer? | @268958 Click the following link https://t.co/1HYFf4TWCq , so you can see all Black Friday and Cyber Monday Sprint offers. -PC"
"T-mobile $300 promotion for trade in device is a f***ing scam. They stole my iPhone 7 plus 128GB and giving only $300, clearly my iPhone isn't worth $300. Come on T-mobile, stop scamming people.  
@TMobileHelp | @269894 We certainly don't want you to feel scammed! I will continue wit you in dm so we can figure this out. *AlexGreen"
@TMobileHelp I have some questions about returning my iPhone 8 Plus. | @169783 Hey Nick! I'm sure I can answer all of your return questions. Please meet me in a DM. https://t.co/wnPk0Kpe5r *BrittanyJones
"@TMobileHelp what kinda black Friday deals we working with for iphone | @271884 Hello! We currently have our Iphone BOGO promo that we are running 
The requirments are to 
Add a line , Purchase 2 Iphones on an EIP and then you will get a promotional card after submitting for the rebate to pay off the second device. *TiaKappus"
"Hi @115911 @TMobileHelp @115913 , sent my defective iPhone 8 last week and has been received by TMo. Still no confirmation/anything :( | @176105 @115913 Let's check out where your phone is. I see your DM and I'll meet you there to get to work. *AlexGill"
@TMobileHelp since I have an iPhone with Apple care through T-Mobile the phone has issues so do I get a replacement from you or them | @272474 Hi! The #Uncarrier wants to make things as easy as possible. Let's meet in DM and we'll talk details: https://t.co/cDHmSFlO12 *NathanLovato
"@sprintcare new iPhone 8 came today yay! iCloud backed up, how can I ACTUALLY activate it? I don’t wanna have to go to store. | @272659 Hey! Thank you for reaching out to us. Please send us a Direct Message, so that we can further assist you. - JM"
@115911 @TMobileHelp how true is this freeniphone 8 on y’all text I got 👀 | @273229 The truest of the true! https://t.co/JH7tyQgayX *TiannahReagor
@115913 I want the promo buy one get one free on iphone 8. but your stipulation are sucks | @273234 @115913 Hey Petra! I'd love to work with you on the BOGO! Let's check out your eligibility. Send me a DM so we can get started. https://t.co/3sF8qpf2nx Thank you! *AlissaFast
I’ve had the #iPhoneX for an hour now and already am in love. Thanks @115911  Waited 3 days when originally set to ship 12/15-12/29 | @119569 Yaasss! I bet you can't get enough of those animojis! 💩🦄🐵 #XGonnaGiveItToYou *BrittanyJones
@115913 can I  use data and talk on the phone at the same time with a iPhone on T-Mobile network? Cause I can't with sprint  in #2017 | @273755 @115913 Hey! Great question! It's depends on the location and device used. Send me a DM and we'll chat. https://t.co/3sF8qpf2nx *AlissaFast
"Been on the ph w/ @115714 and @AsurionCares for an hour. Both playing the blame game on a $190 charge and an iPhone they can’t seem to find. I’ve been a customer since 1999. Seems like someone would try to help. Hey @ATT or @115725 want a loyal customer? #feedup | @274219 Hey Elise! Please hit me a DM, so that I can assist you. - LP"
"@115911 @115913 Since Tmobile has no usable deals now, for existing subscribers, I just found this: you can switch to Sprint and they pay you a ton of money per line to do it - and they have a great price on the new iphone!  Its amazing, actually -  https://t.co/mdEzkMDAKD | @274231 @115913 Our BOGO offers are absolutely available to existing customers. Send me a DM and we can chat details https://t.co/7gT2t6PtXx. *StephanieGarza"
"Hey @115911, thanks for screwing up my #iphonex order, canceling it, bumping me out of line,… https://t.co/ENUL2D3i6x | @274234 Hello Nate, we'd be happy to take a closer look at this situation. Please DM us, we'll make this right. *JoanO"
"@TMobileHelp how can I get @274592 to work on my iPhone 8. I can't seem to be able to stream anything while on cellular data, but when I'm on WiFi it works without a problem. This is very irritating &amp; I shouldn't have these issues. My friend on @6674&amp;T doesn't have this problem. | @274591 Thanks for reaching out to us here here! Please DM me https://t.co/PqgHENiX1V and we'll dive in together :) *ByronEdwards"
"@115714  yaw still got me out here lookin like a peasant. My iPhone X STILL IS NOT HERE 😠😠😠 | @253878 Hi there, you can check the status of your order trough this link: https://t.co/O1mkYIdKu5 - CE"
@115714 I’m in a store now trying to upgrade a phone and they won’t let me because of my bill that isn’t even due yet please help u guys are sucking majorly I need that iPhone X | @275033 Hello Gavin! Thank you for contacting us and for your inquiry. In order to assist you please send us a DM. we look forward to helping you! -AC
@115714 i hate you so much | @275157 What's going on? Did you experience issues preordering the iPhone X? -SA
"Come on @115858 get your shit together @115714 1/2 and can’t order #iPhoneX | @275163 I'm sorry for the trouble, let's get this fixed for you. Are you still having issues preordering the device? -SA"
Got my #iPhoneX pre-order through #sprint !! Try using chrome people don’t give up | @275164 We are happy to see you got your order through! Thank you for choosing Sprint! -SV
At 3am ET I couldn’t order the iPhone X.. at 7AM I ordered it no problem.. I think 🤔... thanks #sprint #iPhoneX #IphoneXPreOrder | @275165 That's great news! Do have a good day and thank you for choosing Sprint. -AS
"Been in virtual line with NO estimated wait time for @115714 for my #iPhoneX for an HOUR! I’m not happy @115714 | @176390 I'm sorry for the trouble, let's get this fixed for you. Are you still having issues preordering the device? -SA"
"@TMobileHelp 
1 how long will the iPhone b1g1 rebate be available for?
2 do I have to activate them right away, they are Xmas  gifts
3 I am already a customer with 3 phones, the gifts will replace 2 of them
4 your ceo rocks! | @275348 1. A limited time only! :) 
2. They would be active when you place the order
3. Awesome!
4. I know right?? :) 

DM me and let's talk specifics! https://t.co/86MicZnF9C *WarrenCamp"
"@TMobileHelp I need to unlock my Factory Unlocked iPhone X, which is locked by T Mobile. How to do that. The X is factory unlocked and when I use a prepaid SIM, you just locked the phone. I don't have a T Mobile account. I only do business trip in US. | @275819 Hi, Conan! Thank you for reaching out to the #MagentaElite! Meet me in the DM and we can work together to get your device unlocked! https://t.co/Mrhe7LI6A5 *MattRoyo"
"@115911 can you PLEASE update the Digits app for the iPhone X?? So many updates have come out since it was released and it’s still not optimized. Looks awful! | @209403 Oh no. We certainly are always updating DIGITS for your convenience but, we want to get it right. We thank you for your feedback. Is it still operational for you? Send us a DM so we can assist. *KeithM"
"@115911 do NOT get fooled by T-Mobile’s iPhone trade-in program.  been a loyal T-MO customer for 5 years, took my $$$, took my old iPhone, tried to upsell me w/ needless stuff.  Told me in store I would get $300 credit for my phone.  just got text saying no credit after 30 days | @276325 Hey there Dinesh! We want to make sure you receive the full benefits from our promotion. Let's take a closer look to see what happened. Send us a DM! We're here for you. *RickK"
"BEWARE! So, @115714 did call me. No way I can exchange the iPhone X for the 8. I missed the 14 day guaranteed by hours. Evidently, nothing they can do. To cancel the account, it'd cost me over $1,700! Just for missing the deadline by a mere few hours. NOW, I AM STUCK WITH SPRINT. https://t.co/GoF7btkpPO | @252104 We hate to hear this, was there something wrong with the phone?"
"@115913 What a horrible T-Mobile experience with your customer service rep(s) today. All I wanted to do was buy the new iPhone X. I will never call customer service again. With a credit score of 859, I was told I need to put a deposit of $500 RIDICULOUS! Switching to Verizon | @277717 @115913 I absolutely want you to have the best possible experience with us. Please send a DM our way and we'll dive into this for you. https://t.co/lH0SH5fy2m *MikeRice"
"@115913 Paid off an iPhone on the 15th!!  Battery died on the 19th, nothing we can do, you own the phone says the rep in @115911 store.... Come on man! | @277723 @115913 Let's dive in and explore all our options here, Kevin. Please DM us and we'll get started. https://t.co/lH0SH5fy2m *MikeRice"
"@115714 please help!!!  Just lost all my text messages on my iPhone 7. Can this be fixed??  Thanks.  I have restarted phone several times.  Been acting up since yesterday | @278099 Hello Gerry! We would like to confirm, did you perform a factory reset? -  EH"
"Listen today is not a good day. I missed on the Off-White Nikes today and I just want my damn iPhone @115911 | @278362 I've been there so I know exactly how you feel! Let's see if we can track your device, my man! DM us and we'll get started. *WhitneyJ"
"@TMobileHelp I got a replacement device for my iPhone 6s+. You guys were amazing by giving me a 7+. But, I received no charger (which I understand) and no earbuds. The phones have different ports. Do replacements always come with no earbuds? | @278367 Replacements are only for the device itself. Sorry about any confusion! https://t.co/zXrDYDCnIa *Bridget Wren"
@TMobileHelp any promos for the iPhone X for a good business customer w/ multiple lines ? | @278417 Hey there send me a DM so I can go over some options for you. *TremiekaS
"@115911 great BOGO iPhone promo. Too bad we switched to u a few days early and u won’t honor. Guess it’s back to @115725? | @278803 Whoa! We are constantly bringing great deals to our family, Andrea. Today we have this deal but there maybe another right around the corner. Stay part of the family. Send us a DM and we can talk more. *JeremyJ"
"@tmobilehelp your coverage map is incredibly misleading for Ardmore, OK. Even though the map and my phone show LTE the connection rarely works and, when it does, it's 2mbps down and .04mbps up. iPhone and S7 Edge. This is making visiting in-laws a painful experience. | @279028 I thought visiting in-laws started off as a painful experience :) I definitely want to make this better for you asap! Got a few tricks up my sleeve. Send me a DM from here &gt; https://t.co/W3cyuk6dh9 *DebiChavarria"
"Dear @115911 plz stop selling people broke ass iPhones | @279250 Hey there, Andrea. What's got you saying this? DM us some more info! *MelindaR"
"Wow. I only got @122609 because @115890 officially killed @116230 mobile and I have say, Android is a complete POS after having such a wonderfully designed OS on my @198874. I'm asking @115911 to let me exchange my new @1647 for @115858 iphone and hopefully it doesn't suck | @143629 I see that we are working with you in DM. Please let us know if you have any other questions or concerns. Thanks! *HiginioAguirre"
@TMobileHelp Hi! I’d like to exchange my iPhone 8 Plus for a different color but I’m past my 14 day return period 🙁 | @169783 I would love to see what options we have available to help! Click on my picture to send me a DM! Thanks! https://t.co/1zjPjvErgA *MaddieAbbot
"Get an #iPhone everyone said!  4 hours of #sprint not being able to activate it, I had my #samsung note 4 turned back on! #TheyCanHaveItBack | @280139 Hey there! I can help you activating your phone. Please send us a Direct message to further assist you. -DM"
".@115913, where are the free lines / digits promotions? I really hoped to port our family’s iPhones and Apple Watches over from @ATT, but I guess I’ll be staying. @30758 | @281351 @115913 We've got some pretty amazing promotions going on right now. You can check them out here: https://t.co/aIZPWLwowe. Feel free to shoot us a DM if you have any questions, Roman. https://t.co/EdLkYIfmTn *MariahDaigle"
@115911 I’ve been trying to check out with the iPhone X on your site but it seems to not do anything when I hit add to cart. 🤷🏾‍♂️ | @281558 Let's see what's going on! Send us a DM so we can check it out! *MelindaR
@TMobileHelp I took part in the T-Mobile trade-in program to get $300 towards a new iPhone but I have no idea how to send my old phone back. Where do I get a shipping label? Can I bring it back to a store? | @282274 Hey there! Happy Thanksgiving! =D I certainly have the answers to any questions that you have! Shoot me a DM &amp; I'll see you there! =) https://t.co/c09vKrd5yq *AshaBegum
"Dear @115714 you need to tell your customers that when upgrading their iPhones, it's technically a downgrade in gigs. | @282845 We'd like to help. Please send us a Direct Message, so that we can further assist you. -LC https://t.co/rMApsV8PQY"
@115913 probably would be good for T-Mo to not send confirmation text to the phone line of a Christmas upgrade. Just ruined my daughter’s iPhone X surprise. ☹️ | @284840 @115913 I appreciate you reaching out to us. We're here for you and would be happy to discuss your order with you further. DM us anytime: https://t.co/cuEwtd2epS *DanKing
@TMobileHelp I'm a T-Mobile consumer outside USA unable to activate a sim card on my iPhone 6 from a local carrier. How do I activate it without calling T-Mobile USA and getting killed on ISD charges? | @284841 Hey!! I would love to help out. I am sure you are eager to use your device. Send me a DM here: https://t.co/QIHNBDHoV8. *LaurenWalker
"@115911 failed me again. They said the issue would be resolved this afternoon...iPhone X now pre-ordered with @ATT. #UncarryingTheUncarrier | @285056 We'd love to continue addressing your concern, Jose. Please reply to our last DM when you are ready for us to do so. Thank you! *MikePerez"
My first tweet with my #iPhone8Plus using @115911 y’all better not fuck up again. | @190569 We're always here for you and only a DM away :) Please let us know if you need anything! *ByronEdwards
@sprintcare I have a iphone 6 from sprint. Do yall unlock phones? | @189708 Hey! We can take a look in to this and see what can we do. DM us to review. - GS https://t.co/rMApsV8PQY
"@115714 ya got iPhone 8 or X for the low Black Friday ? 🤔 | @152443 Please access the following link https://t.co/1HYFf4TWCq , to see all available deals from Sprint on Black Friday and Cyber Monday. -PC"
@sprintcare do you have a idea when youll have the iphone x in stock? | @287083 Please visit https://t.co/y5KU4cSsLx and click on the chat bubble to be further assisted with your query. - JM
"Anyone else having texting issues on #iOS11 with @115911? #iphone6 | @288654 Hiya, Greg! We would love to look into this for you! DM us so that we can! *MelindaR"
"Since details are coming out super slow, is there at least confirmation that iPhone X will even be JoD eligible @115911 ? | @163618 Still no update on JOD pricing. I know its been along wait, but it is almost over. *MakLarson"
"@sprintcare still waitin on my iPhone8 delivery times r ridiculous&amp; changing daily! I need a refund/credit for my shipping, tired of waiting | @205033 We would like to look into this for you. Please send us a Direct Message, so that we can further assist you. -PP"
"IDK if it is #signal (@32052), my @1647 7 edge or #Android #Oreo but since update, Signal has run like crap. Doubt it's @115911 | @290108 Might as well check just in case. DM us, let's make sure everything's running smoothly on our end. *JoanO"
@115911 how much you guys charge for 2 lines with iPhone 8 ? | @290111 We'd love to get you an accurate estimate! Please DM for details :) *JohnWard
